NCT_ID,Brief_Title,Has_Adverse_Events,Total_Deaths,Total_Serious_AEs,Total_Other_AEs,Unique_Serious_Events,Unique_Other_Events,Event_Groups
NCT00701727,Ezetimibe Reverse Cholesterol Transport (RCT) Pilot Study,True,0,0,30,0,8,2
NCT00392327,"Chemotherapy and Radiation Therapy in Treating Young Patients With Newly Diagnosed, Previously Untre...",True,126,32,326,27,193,8
NCT02877927,Oral Omadacycline vs. Oral Linezolid for the Treatment of ABSSSI,True,1,10,249,12,10,2
NCT00027027,Safety Study of rhuMAb 2C4 to Treat Advanced Solid Tumors,True,0,11,21,17,153,5
NCT01928927,Telmisartan to Reduce AIDS-Related Fibrotic and Inflammatory Contributors (TRAFIC Study),True,0,4,34,4,50,2
NCT01887327,Stannsoporfin With Light Therapy for Newborn Babies With Jaundice,True,0,15,71,12,97,3
NCT04062227,Mindfulness Based Dementia Care Study,True,0,0,0,0,0,1
NCT01288027,Exploratory Muscle Biopsy Assessment Study in Patients With Late-Onset Pompe Disease Treated With Al...,True,0,1,15,1,48,1
NCT01410227,"Pharmacokinetics, Safety and Efficacy of Recombinant Von Willebrand Factor (rVWF) in the Treatment o...",True,0,7,14,9,12,1
NCT01460927,TriActive+ Radiofrequency (RF) for Non-invasive Treatment of Wrinkles & Rhytides,True,0,0,1,0,1,1
NCT03859427,A Study Comparing Once-weekly vs Twice-weekly Carfilzomib in Combination With Lenalidomide and Dexam...,True,48,159,372,114,26,2
NCT01194427,A Study of Vorinostat and Tamoxifen in Newly Diagnosed Breast Cancer,True,0,0,2,0,10,1
NCT00766727,Clinical Evaluation of the GLYDe Dressing for Post-surgical Incision Care,True,0,0,0,0,0,2
NCT00489827,Glutamate for Metabolic Intervention in Coronary Surgery,True,257,113,329,8,5,2
NCT00314327,Optimizing Response in Psychosis Study,True,0,0,0,0,0,1
NCT04337827,Rituximab and Acalabrutinib in Newly Diagnosed B Cell Post Transplant Lymphoproliferative Disorder,True,1,2,3,2,29,1
NCT04616027,STUDY OF PF-06882961 IN PARTICIPANTS WITH TYPE 2 DIABETES MELLITUS WITH VARYING DEGREES OF RENAL IMP...,True,0,0,24,0,13,6
NCT02567227,Cognitive Remediation to Improve Mobility in Sedentary Seniors,True,4,6,83,4,2,2
NCT01436227,Pazopanib Hydrochloride in Treating Patients With Von Hippel-Lindau Syndrome,True,1,12,32,13,141,1
NCT01285427,"Clinical Protocol SeCore, uTYPE and 3500 Dx System",True,0,0,0,0,0,1
NCT03977727,FIasp® vs. Novolog® in Type 1 Diabetics Using 670G Medtronic Pump,True,0,1,18,1,43,2
NCT02174627,Safety and Efficacy Study of Roxadustat to Treat Anemia in Patients With Chronic Kidney Disease (CKD...,True,529,1544,1596,755,19,2
NCT03462927,A Maximal Use Trial Evaluating the Pharmacokinetic Profile of MC2-01 Cream,True,0,1,0,1,0,2
NCT02690727,To Evaluate the Food Effect on Relative Bioavailability of RP6530 in Healthy Volunteers,True,0,0,10,0,9,2
NCT02754427,Pilot Study for a Prospective Surveillance Program for Rehabilitation Following Surgery for Breast C...,True,0,0,0,0,0,2
NCT01675427,A Study on the Correlation Between Interleukin 28B Genotypes With Clinical and Demographic Character...,True,0,0,0,0,0,1
NCT00953927,A Study of MVA85A in Healthy Infants,True,0,515,2383,87,15,2
NCT04079127,Avenir Müller Hip Stem Post Market Surveillance Study,True,3,17,14,17,16,1
NCT02760927,Assessment of a Oral Endotracheal Tube Fastener on Patients Intubated With Oral Endotracheal Tubes,True,0,0,2,0,1,1
NCT00515827,Effect of Addition of Raltegravir (MK-0518) to PI- or NNRTI-Based ART Regimens in HIV Infected Subje...,True,0,0,26,0,7,2
NCT04352127,Visual and Electromyography Assessments in Response to Train-of-Four Stimulation of the Ulnar Nerve,True,0,0,0,0,0,2
NCT00430027,"Preoperative Capecitabine, Oxaliplatin, Cetuximab, and Radiation Therapy for Locally Advanced Esopha...",True,0,1,8,1,19,1
NCT00209027,The Effects of Aripiprazole on the Processing of Rewards in Schizophrenia,True,0,0,0,0,0,2
NCT01362127,Neoadjuvant Chemotherapy Versus Radiochemotherapy for Cancer of the Esophagus or Cardia,True,0,98,0,10,0,2
NCT01814527,High Dose Omega-3 Fatty Acids in the Treatment of Sport Related Concussions,True,0,0,0,0,0,2
NCT03342027,"Smoking Cessation Interventions for People Living With HIV in Nairobi, Kenya",True,6,8,107,2,1,4
NCT01485627,VOICE: Values and Options in Cancer Care,True,188,0,0,0,0,4
NCT02959827,Iodinated Contrast Agents and Risk of Hypothyroidism in Young Children in the United States,True,0,0,0,0,0,1
NCT00891527,Pilot Study Using Avastin and Gleevec to Treat the Progression of Intraluminal Pulmonary Vein Stenos...,True,11,10,48,5,8,1
NCT04564027,A Study Investigating DNA-damage Response Agents in Molecularly Altered Advanced Cancer,True,1,15,54,23,105,4
NCT02732327,Comparative Study of Ceftazidime-Avibactam Versus Standard of Care as Therapy in Febrile Neutropenic...,True,0,0,2,0,3,2
